"forecast_date","crps_hosp","crps_ww","bias_hosp","bias_ww","ae_hosp","ae_ww","wweval_commit_hash","wwinference_version","time_stamp"
"2023-10-16",5.14522772717514,4.40585213696337,0.482456578947368,0.454903947368421,6.95070159315016,6.04158342590824,"6b17b30","v0.1.0","2024-10-24 09:03:45"
"2023-11-13",4.66700940996615,4.01996167188452,-0.312361842105263,-0.225452631578947,6.14555313317269,5.32488868328644,"6b17b30","v0.1.0","2024-10-24 09:03:45"
"2023-12-11",8.85908684056652,8.83714857338993,-0.584023684210526,-0.511771052631579,11.5099252112402,11.3443881510229,"6b17b30","v0.1.0","2024-10-24 09:03:45"
"2024-01-08",17.3908939639088,15.6090399643134,0.253871052631579,0.395892105263158,22.1821235755269,20.5147861487411,"6b17b30","v0.1.0","2024-10-24 09:03:45"
"2024-02-05",3.32419835788111,5.07901031232283,0.262493421052632,0.366310526315789,4.57209858735053,7.3441399364984,"6b17b30","v0.1.0","2024-10-24 09:03:45"
"2024-03-04",3.2793283883797,4.70636498630747,0.499603947368421,0.632397368421053,4.7183233176191,6.60620424247958,"6b17b30","v0.1.0","2024-10-24 09:03:45"
